"run_id","status","lambda_adv","lambda_coral","lambda_ws","dataset_id_acc_last","dataset_id_chance","abs_acc_minus_chance","within_target_window","offdiag_knn_top1","offdiag_whitened_cka","primary_score"
"audited_cross_domain_emg_audited_throughput_invtrade_a0p050_c0p000","ok","0.05","0.0","0.05","0.41015625","0.1666666666666666","0.2434895833333333","0","0.4212239583333333","0.066385041635255","0.2438044999842941"
"audited_cross_domain_emg_audited_throughput_invtrade_a0p050_c0p100","ok","0.05","0.1","0.05","0.40234375","0.1666666666666666","0.2356770833333333","0","0.4541015625","0.0664040668788306","0.2602528146894153"
"audited_cross_domain_emg_audited_throughput_invtrade_a0p050_c0p200","ok","0.05","0.2","0.05","0.41015625","0.1666666666666666","0.2434895833333333","0","0.4625651041666667","0.0663368617793754","0.264450982973021"
"audited_cross_domain_emg_audited_throughput_invtrade_a0p100_c0p000","ok","0.1","0.0","0.05","0.38671875","0.1666666666666666","0.2200520833333333","0","0.4186197916666667","0.0664299501987162","0.2425248709326914"
"audited_cross_domain_emg_audited_throughput_invtrade_a0p100_c0p100","ok","0.1","0.1","0.05","0.3984375","0.1666666666666666","0.2317708333333333","0","0.4576822916666667","0.0664169154939855","0.2620496035803261"
"audited_cross_domain_emg_audited_throughput_invtrade_a0p100_c0p200","ok","0.1","0.2","0.05","0.39453125","0.1666666666666666","0.2278645833333333","0","0.4674479166666667","0.0663988076217143","0.2669233621441905"
"audited_cross_domain_emg_audited_throughput_invtrade_a0p200_c0p000","ok","0.2","0.0","0.05","0.3671875","0.1666666666666666","0.2005208333333333","0","0.4189453125","0.066436838932429","0.2426910757162145"
"audited_cross_domain_emg_audited_throughput_invtrade_a0p200_c0p100","ok","0.2","0.1","0.05","0.37109375","0.1666666666666666","0.2044270833333333","0","0.4475911458333333","0.066373110185301","0.2569821280093172"
"audited_cross_domain_emg_audited_throughput_invtrade_a0p200_c0p200","ok","0.2","0.2","0.05","0.37890625","0.1666666666666666","0.2122395833333333","0","0.4677734375","0.0663601002226499","0.2670667688613249"
