metric,n_pairs,mean_delta,median_delta,min_delta,max_delta,n_positive,n_negative,n_zero
offdiag_cka,12,0.003898057268783383,0.0025598264378403,-0.0018575030371473,0.011681066637845,11,1,0
offdiag_knn_top1,12,0.014973958333333334,0.017578125,-0.578125,0.63671875,6,5,1
offdiag_whitened_cka,12,-0.0007805473800646502,-0.00010474428216845012,-0.0029606870713076,1.217210368990862e-07,4,8,0
