encoder_seed,encoder_run,seed,true_dataset,predicted_dataset,count,source,feature_set,shuffled_label_control
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2027,ninapro_db10_meganepro,ninapro_db10_meganepro,354,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2027,ninapro_db10_meganepro,physionet_grabmyo,1103,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2027,ninapro_db10_meganepro,physionet_hyser,811,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2027,physionet_grabmyo,ninapro_db10_meganepro,818,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2027,physionet_grabmyo,physionet_grabmyo,692,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2027,physionet_grabmyo,physionet_hyser,802,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2027,physionet_hyser,ninapro_db10_meganepro,729,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2027,physionet_hyser,physionet_grabmyo,827,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2027,physionet_hyser,physionet_hyser,811,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2028,ninapro_db10_meganepro,ninapro_db10_meganepro,2325,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,False
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2028,ninapro_db10_meganepro,physionet_grabmyo,0,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,False
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2028,ninapro_db10_meganepro,physionet_hyser,0,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,False
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2028,physionet_grabmyo,ninapro_db10_meganepro,2,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,False
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2028,physionet_grabmyo,physionet_grabmyo,2269,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,False
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2028,physionet_grabmyo,physionet_hyser,0,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,False
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2028,physionet_hyser,ninapro_db10_meganepro,0,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,False
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2028,physionet_hyser,physionet_grabmyo,0,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,False
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2028,physionet_hyser,physionet_hyser,2317,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,False
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2028,ninapro_db10_meganepro,ninapro_db10_meganepro,510,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2028,ninapro_db10_meganepro,physionet_grabmyo,1157,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2028,ninapro_db10_meganepro,physionet_hyser,658,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2028,physionet_grabmyo,ninapro_db10_meganepro,806,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2028,physionet_grabmyo,physionet_grabmyo,665,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2028,physionet_grabmyo,physionet_hyser,800,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2028,physionet_hyser,ninapro_db10_meganepro,864,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2028,physionet_hyser,physionet_grabmyo,768,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2028,physionet_hyser,physionet_hyser,685,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2029,ninapro_db10_meganepro,ninapro_db10_meganepro,2272,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,False
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2029,ninapro_db10_meganepro,physionet_grabmyo,2,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,False
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2029,ninapro_db10_meganepro,physionet_hyser,0,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,False
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2029,physionet_grabmyo,ninapro_db10_meganepro,0,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,False
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2029,physionet_grabmyo,physionet_grabmyo,2308,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,False
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2029,physionet_grabmyo,physionet_hyser,0,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,False
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2029,physionet_hyser,ninapro_db10_meganepro,0,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,False
