encoder_seed,encoder_run,source,feature_set,shuffled_label_control,n_seeds,n_classes,uniform_reference_mean,majority_reference_mean,accuracy_mean,accuracy_sd,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_sd,macro_f1_min,macro_f1_max,permutation_corrected_accuracy_mean,permutation_corrected_accuracy_sd,permutation_corrected_accuracy_min,permutation_corrected_accuracy_max,mean_prediction_entropy_mean,mean_prediction_entropy_sd,mean_prediction_entropy_min,mean_prediction_entropy_max,normalized_prediction_entropy_mean,normalized_prediction_entropy_sd,normalized_prediction_entropy_min,normalized_prediction_entropy_max,ece_mean,ece_sd,ece_min,ece_max
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,False,10,3,0.3333333333333333,0.3364304525615839,0.9998115466370232,0.0001816697181949,0.9995601173020529,1.0,0.999810458129602,0.000182486392867,0.999561146568824,1.0,0.9998112139300316,0.000182032092288,0.9995610182468894,1.0,0.9998115466370232,0.0001816697181949,0.9995601173020529,1.0,0.0010969248092192,0.0004051720924737,0.0005482825880911,0.0018291550659905,0.0009984639900115,0.000368803532104,0.000499068318957,0.0016649686926478,0.0002185296455548,8.00812630188227e-05,0.0001129836029888,0.0003555584331863
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding,True,10,3,0.3333333333333333,0.3364304525615839,0.325121922132504,0.0365400224544819,0.2673096300561393,0.3786055950137701,0.3249735761788206,0.0367688167698709,0.2660068044879093,0.3788651072913973,0.3243568617254188,0.0373056318232303,0.262959661157594,0.3789762599455999,0.3749366596242558,0.016915504895304,0.3527204502814259,0.4080717488789238,1.0729351983609063,0.0018225910911529,1.069589973247274,1.0761398627156282,0.976627705176744,0.001658993905268,0.9735827500564184,0.9795447163805844,0.0873709520937524,0.0353421666331848,0.0359498410162027,0.1423632840386023
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,pretrained_embedding,False,10,3,0.3333333333333333,0.3364304525615839,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0013715462427144,0.0008767983321643,0.0003982971803683,0.0034599049858519,0.0012484351912513,0.000798096235777,0.0003625457174261,0.0031493412385241,0.0002781307765806,0.0002258415221867,6.666018101883255e-05,0.0008537363064177
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,pretrained_embedding,True,10,3,0.3333333333333333,0.3364304525615839,0.3330777075648613,0.0500463670408245,0.2706495009402574,0.4045579910001451,0.3329848151627609,0.0501893764003022,0.2708312408696196,0.4047385470539312,0.3327972384765691,0.0499997215073318,0.270882142960287,0.4035129049708146,0.3811256774584041,0.0217781974700594,0.3524926686217008,0.4202227686966585,1.0731837573486558,0.0014471149967476,1.0716551102555865,1.0766355796687928,0.976853953317524,0.0013172208354796,0.9754625187697432,0.9799959373966586,0.0810293698604865,0.0465439561096816,0.0229467788526796,0.1418040345738297
2028,journal_confirmatory_3domain_m_weakalign_steps2000_seed2028,journal_confirmatory_3domain_m_weakalign_steps2000_seed2028,pretrained_embedding,False,10,3,0.3333333333333333,0.3364304525615839,0.9998120453504864,0.0001368146841649,0.9995687796463992,1.0,0.9998110241703756,0.0001377676386268,0.9995657733171368,1.0,0.9998115357039424,0.0001374486259838,0.9995665239017114,1.0,0.9998120453504864,0.0001368146841649,0.9995687796463992,1.0,0.0013801766183778,0.0004910145244634,0.0009108463699763,0.0023219130379867,0.0012562908977206,0.0004469406810101,0.0008290880953831,0.0021134963279918,0.0003151778466314,0.0001382281920757,0.0001917838123022,0.0006373093913516
2028,journal_confirmatory_3domain_m_weakalign_steps2000_seed2028,journal_confirmatory_3domain_m_weakalign_steps2000_seed2028,pretrained_embedding,True,10,3,0.3333333333333333,0.3364304525615839,0.3318570253596508,0.0386203184486997,0.2573412411398814,0.3716430840311868,0.3318544382738436,0.038636702712838,0.2576432007046728,0.3718934070786872,0.3312677109268201,0.0385770501039545,0.2574197887149334,0.3702916442334888,0.3730404590315022,0.017849369975925,0.3470919324577861,0.4144365687834515,1.0737212272285346,0.0019287591032905,1.06970143622606,1.0764936171126005,0.97734317948532,0.0017556321945287,0.973684208032026,0.9798667175093002,0.0800122240590417,0.0402493720459801,0.0412077271838991,0.1601262881359372
2029,journal_confirmatory_3domain_m_weakalign_steps2000_seed2029,journal_confirmatory_3domain_m_weakalign_steps2000_seed2029,pretrained_embedding,False,10,3,0.3333333333333333,0.3364304525615839,0.9999132304779632,0.0001397140687778,0.9997096821019016,1.0,0.9999124968985024,0.0001408948515372,0.9997068308413954,1.0,0.9999129198516375,0.0001402133455516,0.9997089882922724,1.0,0.9999132304779632,0.0001397140687778,0.9997096821019016,1.0,0.0010595585497492,0.000445427543247,0.0005506552443026,0.002015993372702,0.0009644517548895,0.0004054456224834,0.000501228003712,0.0018350362484531,0.0001827285161019,7.311096865502019e-05,7.540404710738047e-05,0.0003488778043131
2029,journal_confirmatory_3domain_m_weakalign_steps2000_seed2029,journal_confirmatory_3domain_m_weakalign_steps2000_seed2029,pretrained_embedding,True,10,3,0.3333333333333333,0.3364304525615839,0.3329522108892885,0.0351781611042369,0.2881819490427523,0.3977388027250326,0.3328964823732221,0.0353757328461948,0.2876100633681075,0.398326368625933,0.3324991924014408,0.0349017610533086,0.2881412848426798,0.3961692900702294,0.3729200440146245,0.0175816792477587,0.3459824637056202,0.3977388027250326,1.0727614156800602,0.0023733866329998,1.0687182401569597,1.0761215159819255,0.9764695213637292,0.0021603496133083,0.9727892644024656,0.9795280164638877,0.0843543063603123,0.0263476308742522,0.051552917335375,0.1278299241443667
2030,journal_confirmatory_3domain_m_weakalign_steps2000_seed2030,journal_confirmatory_3domain_m_weakalign_steps2000_seed2030,pretrained_embedding,False,10,3,0.3333333333333333,0.3364304525615839,0.9999134004432892,0.0001215969353094,0.9997113580603262,1.0,0.9999135595403396,0.0001213853793367,0.9997113997113996,1.0,0.999913556064499,0.000121271973402,0.9997122681854236,1.0,0.9999134004432892,0.0001215969353094,0.9997113580603262,1.0,0.0017613460477451,0.0007463739237595,0.0009077309944903,0.0030719142292522,0.0016032462643217,0.0006793788231373,0.0008262523584101,0.0027961768322985,0.0003733914309181,0.0001553503378119,0.0001443558584725,0.0006557588918671
2030,journal_confirmatory_3domain_m_weakalign_steps2000_seed2030,journal_confirmatory_3domain_m_weakalign_steps2000_seed2030,pretrained_embedding,True,10,3,0.3333333333333333,0.3364304525615839,0.330885079387157,0.040819572378593,0.2711961997984741,0.3891868386722713,0.3307540782788868,0.0410710280787242,0.2703958924789462,0.389724485703034,0.3303741198668712,0.0408877442652333,0.2693538654204779,0.3876509450838262,0.3755439566735047,0.0229882561230817,0.3444281524926686,0.420487948265726,1.0724601868197952,0.0018508982998794,1.070091864232568,1.0752968602883823,0.9761953310389234,0.0016847602370471,0.9740395909187234,0.9787773825031636,0.08694541140925,0.0359018512768795,0.0365637423541505,0.1423581367350949
