encoder_seed,encoder_run,seed,n_classes,n_train,n_test,uniform_reference,majority_reference,accuracy,balanced_accuracy,macro_f1,permutation_corrected_accuracy,mean_prediction_entropy,normalized_prediction_entropy,ece,shuffled_label_control,source,feature_set
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2034,3,16094,6820,0.3333333333333333,0.3343108504398827,0.9995601173020529,0.999561146568824,0.9995610182468894,0.9995601173020529,0.0018291550659905,0.0016649686926478,0.0003555584331863,False,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2034,3,16094,6820,0.3333333333333333,0.3343108504398827,0.3472140762463343,0.3471462478941365,0.3454992394931437,0.3703812316715542,1.0726070673368282,0.9763290274471546,0.0672864544873497,True,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2035,3,15957,6957,0.3333333333333333,0.3367830961621388,0.9995687796463992,0.9995657733171368,0.9995665239017114,0.9995687796463992,0.0009949949386277,0.0009056834234341,0.0003105421104951,False,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,2035,3,15957,6957,0.3333333333333333,0.3367830961621388,0.3405203392266782,0.3403270776772268,0.3399237534183346,0.3801926117579416,1.0744300766484762,0.9779884020331224,0.0682959258944202,True,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,pretrained_embedding
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,2026,3,15985,6929,0.3333333333333333,0.3354019339009958,1.0,1.0,1.0,1.0,0.001962931520184,0.0017867372688537,0.0003811721154657,False,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,pretrained_embedding
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,2026,3,15985,6929,0.3333333333333333,0.3354019339009958,0.368162794053976,0.3679697711708106,0.3671587267547251,0.368162794053976,1.0733908248024366,0.9770424342365128,0.0503479899930556,True,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,pretrained_embedding
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,2027,3,15967,6947,0.3333333333333333,0.3407226140780193,1.0,1.0,1.0,1.0,0.0006780989721703,0.0006172322840048,0.0001070185869625,False,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,pretrained_embedding
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,2027,3,15967,6947,0.3333333333333333,0.3407226140780193,0.2792572333381315,0.2787112032450181,0.2784052650528152,0.3898085504534331,1.0728980763132565,0.9765939152328,0.1328952340742256,True,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,pretrained_embedding
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,2028,3,16001,6913,0.3333333333333333,0.336322869955157,1.0,1.0,1.0,1.0,0.0003982971803683,0.0003625457174261,6.666018101883255e-05,False,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,pretrained_embedding
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,2028,3,16001,6913,0.3333333333333333,0.336322869955157,0.2706495009402574,0.2708312408696196,0.270882142960287,0.4202227686966585,1.0728785057734245,0.9765761013597584,0.1418040345738297,True,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,pretrained_embedding
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,2029,3,16015,6899,0.3333333333333333,0.3358457747499637,1.0,1.0,1.0,1.0,0.001409810004564,0.0012832643682451,0.0002701737575805,False,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,pretrained_embedding
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,2029,3,16015,6899,0.3333333333333333,0.3358457747499637,0.3722278591100159,0.372338239840874,0.3727130816120679,0.3722278591100159,1.0722309308025706,0.9759866532191058,0.0415370669987605,True,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,pretrained_embedding
2027,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,2030,3,16110,6804,0.3333333333333333,0.3381834215167548,1.0,1.0,1.0,1.0,0.0006457628575417,0.0005877986840331,9.561464353503808e-05,False,journal_confirmatory_3domain_m_weakalign_steps2000_seed2027,pretrained_embedding
