encoder_seed,encoder_run,dataset,protocol,calibration_per_class,comparison,metric,n_paired_trials,delta_mean,delta_ci95,win_rate
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,1,raw_stats_plus_pretrained_minus_raw_stats,balanced_acc,430,-0.0054984110554092,0.0044323222261142,0.4581395348837209
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,1,raw_stats_plus_pretrained_minus_raw_stats,macro_f1,430,0.0005304641619679,0.0043247850780034,0.5
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,2,pretrained_encoder_minus_raw_stats,acc,430,-0.0251483622083915,0.0045339724934022,0.2953488372093023
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,2,pretrained_encoder_minus_raw_stats,balanced_acc,430,-0.0242301782302896,0.0045598593141355,0.2930232558139535
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,2,pretrained_encoder_minus_raw_stats,macro_f1,430,-0.0189398959650785,0.0042847540536068,0.341860465116279
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,2,pretrained_encoder_minus_scratch_encoder,acc,430,-0.0045137864467492,0.0041409794704516,0.4511627906976744
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,2,pretrained_encoder_minus_scratch_encoder,balanced_acc,430,-0.0046981011370111,0.0042097813004322,0.4790697674418605
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,2,pretrained_encoder_minus_scratch_encoder,macro_f1,430,-0.0043861925841356,0.0038975965805762,0.4744186046511628
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,2,raw_stats_plus_pretrained_minus_raw_stats,acc,430,-0.0089257591319906,0.0045179916828824,0.4209302325581395
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,2,raw_stats_plus_pretrained_minus_raw_stats,balanced_acc,430,-0.0075981258636346,0.0043735839142783,0.427906976744186
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,2,raw_stats_plus_pretrained_minus_raw_stats,macro_f1,430,-0.0021717386948407,0.0042264310107453,0.5023255813953489
