encoder_seed,encoder_run,dataset,protocol,calibration_per_class,model,n_trials,n_units,acc_mean,macro_f1_mean,balanced_acc_mean,n_train_mean,n_test_mean,acc_ci95,macro_f1_ci95,balanced_acc_ci95
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,1,pretrained_encoder,430,86,0.1669775523778064,0.1579718709959916,0.1652786820595949,326.6744186046512,262.51162790697674,0.0042489964996807,0.004033072014685,0.0043006250368574
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,1,raw_stats,430,86,0.1845375375482839,0.1704047026136427,0.1836361932693832,326.6744186046512,262.51162790697674,0.003748214311932,0.0036324944657793,0.0036969363091065
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,1,raw_stats_plus_pretrained,430,86,0.179343493064503,0.1709351667756107,0.178137782213974,326.6744186046512,262.51162790697674,0.004501819991596,0.00440576400106,0.0045568537127625
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,1,scratch_encoder,430,86,0.1669151091424423,0.1581535872555874,0.1660992828360189,326.6744186046512,262.51162790697674,0.0043035340304399,0.0041450067967305,0.0042939962846667
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,2,pretrained_encoder,430,86,0.1681669236844294,0.1590163687392149,0.1675109121962534,343.66511627906976,252.3046511627907,0.0043087094166012,0.0041214580440067,0.0043554288780335
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,2,raw_stats,430,86,0.193315285892821,0.1779562647042935,0.1917410904265431,343.66511627906976,252.3046511627907,0.0040179286820824,0.0037528376510374,0.0039372927376701
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,2,raw_stats_plus_pretrained,430,86,0.1843895267608303,0.1757845260094528,0.1841429645629084,343.66511627906976,252.3046511627907,0.0047492744037368,0.0046089510005824,0.0048221235934376
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,2,scratch_encoder,430,86,0.1726807101311787,0.1634025613233506,0.1722090133332645,343.66511627906976,252.3046511627907,0.0043943943114651,0.0041967009979879,0.0044033562403785
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,5,pretrained_encoder,430,86,0.1847455068280803,0.1737393162200161,0.1869194460084365,394.4139534883721,203.24883720930237,0.0045420779819573,0.0044616937371678,0.004851253952001
2026,journal_confirmatory_3domain_m_weakalign_steps2000_seed2026,physionet_grabmyo,source_plus_calibration,5,raw_stats,430,86,0.2142105264063439,0.1945970697510462,0.2136107715039376,394.4139534883721,203.24883720930237,0.0042464650347684,0.0038652209344219,0.0042246999343733
