run_label,seed,shuffled_label_control,label_control_mode,n_classes,n_train,n_test,uniform_reference,majority_reference,accuracy,balanced_accuracy,macro_f1,optimal_relabel_accuracy,mutual_info,normalized_mutual_info,mean_prediction_entropy,normalized_prediction_entropy,ece
encoder_seed_2026,2026,False,true_labels,6,22979,7021,0.1666666666666666,0.1912832929782082,0.9240848881925652,0.9254359050372544,0.9216741855238606,0.9240848881925652,1.5961325996032467,0.8941484989936856,0.306739930477319,0.1711948147869825,0.0469960645891971
encoder_seed_2026,2027,False,true_labels,6,22489,7511,0.1666666666666666,0.1978431633604047,0.924510717614166,0.9158317794852872,0.9141393288517616,0.924510717614166,1.6107590900736957,0.9032886810524494,0.2825259102838643,0.1576807128054889,0.0358811349241478
encoder_seed_2026,2028,False,true_labels,6,22480,7520,0.1666666666666666,0.1976063829787234,0.9341755319148936,0.9284382728962006,0.9254939994738082,0.9341755319148936,1.6249192957386984,0.910939264545578,0.2697345358772777,0.1505417108209773,0.0400911744168737
encoder_seed_2026,2029,False,true_labels,6,22889,7111,0.1666666666666666,0.1868935452116439,0.9492335817747152,0.9453996399752508,0.9444812555956984,0.9492335817747152,1.6450572559273042,0.9218504658314844,0.3032797583480643,0.169263655951949,0.0718360429143127
encoder_seed_2026,2030,False,true_labels,6,22572,7428,0.1666666666666666,0.1743403338718362,0.9281098546042004,0.9278965684913536,0.9263685335106636,0.9281098546042004,1.6141835648994394,0.9019059936086096,0.3003529126312349,0.1676301522551105,0.0504776768183385
encoder_seed_2026,2031,False,true_labels,6,22764,7236,0.1666666666666666,0.1784134881149806,0.922194582642344,0.9161767257981908,0.9137885245007498,0.922194582642344,1.6024532288811193,0.8966519838392709,0.3052424852568146,0.1703590746967406,0.0456139144041491
encoder_seed_2026,2032,False,true_labels,6,22717,7283,0.1666666666666666,0.1805574625840999,0.9126733488946862,0.9098937120279283,0.9098142789576844,0.9126733488946862,1.585997097307657,0.8889095675959904,0.2780650392745565,0.1551910532915199,0.0302278258835736
encoder_seed_2026,2033,False,true_labels,6,22286,7714,0.1666666666666666,0.18796992481203,0.891495981332642,0.8827397862017751,0.8821028892875721,0.891495981332642,1.5726361243931342,0.8816043981047067,0.2677878159396178,0.1494552257368502,0.0263753645020554
encoder_seed_2026,2034,False,true_labels,6,22765,7235,0.1666666666666666,0.1910158949550794,0.9494125777470628,0.9449213498526112,0.9422952282598892,0.9494125777470628,1.6446703435939507,0.9224497322216636,0.2960062171072822,0.1652042152928098,0.0695189840716205
encoder_seed_2026,2035,False,true_labels,6,22461,7539,0.1666666666666666,0.1944554980766679,0.9338108502453908,0.925529434358584,0.9233984303456496,0.9338108502453908,1.6205908484089964,0.9092429967642311,0.2798290841246524,0.1561755854680714,0.0475532535798858
encoder_seed_2026,2026,True,train_labels_permuted_only,6,22979,7021,0.1666666666666666,0.1912832929782082,0.1244836917817974,0.1258917665256163,0.1226622793597326,0.3042301666429283,0.1552277540879343,0.0879294939313059,1.7676770870269056,0.98655936658087,0.0754264500194633
encoder_seed_2026,2027,True,train_labels_permuted_only,6,22489,7511,0.1666666666666666,0.1978431633604047,0.2455065903341765,0.2301665605562877,0.2138536697170479,0.3369724404207163,0.1873934879597122,0.1065361523002967,1.7614776016352125,0.9830993679046166,0.0987274680536251
encoder_seed_2026,2028,True,train_labels_permuted_only,6,22480,7520,0.1666666666666666,0.1976063829787234,0.1184840425531914,0.1200193302030881,0.1229439422529233,0.3238031914893617,0.1918916365730253,0.1082593766796549,1.7648536740666247,0.9849835898045948,0.0829012263717357
encoder_seed_2026,2029,True,train_labels_permuted_only,6,22889,7111,0.1666666666666666,0.1868935452116439,0.1738152158627478,0.1735471753521898,0.1743985394788664,0.2996765574462101,0.1339456009059263,0.0753210737224841,1.7681198932345557,0.9868065014308622,0.0276509547861841
encoder_seed_2026,2030,True,train_labels_permuted_only,6,22572,7428,0.1666666666666666,0.1743403338718362,0.1927840603123317,0.190526785779132,0.1858764451080376,0.3411416262789445,0.2215044166285784,0.1243992773728103,1.770440408037652,0.9881016054015398,0.0332951489919465
encoder_seed_2026,2031,True,train_labels_permuted_only,6,22764,7236,0.1666666666666666,0.1784134881149806,0.1180210060807075,0.120010634863382,0.1224037743623966,0.3637368711995578,0.2645436713605377,0.1499068619009035,1.773397990619676,0.9897522636694702,0.0778631009149905
encoder_seed_2026,2032,True,train_labels_permuted_only,6,22717,7283,0.1666666666666666,0.1805574625840999,0.2886173280241658,0.2957539675496398,0.2722941307940619,0.3217080873266511,0.2160228957747361,0.1213612107010789,1.754942756803815,0.9794522015613504,0.1567959647746562
encoder_seed_2026,2033,True,train_labels_permuted_only,6,22286,7714,0.1666666666666666,0.18796992481203,0.1362457868809956,0.1392113936258845,0.1413206897014665,0.3034742027482499,0.1656663839625895,0.0928875203251213,1.7621511985164808,0.9834753094820644,0.0674350173239724
encoder_seed_2026,2034,True,train_labels_permuted_only,6,22765,7235,0.1666666666666666,0.1910158949550794,0.1680718728403593,0.1720950037497883,0.1693202432427973,0.3342087076710435,0.2142976087922907,0.1205425316140279,1.766575116270783,0.9859443449917292,0.0328338079195266
encoder_seed_2026,2035,True,train_labels_permuted_only,6,22461,7539,0.1666666666666666,0.1944554980766679,0.2298713357209179,0.22103904486331,0.2205019916828729,0.3248441437856479,0.2196289467478205,0.124440437401395,1.7655642291468303,0.9853801581456076,0.076141668562402
encoder_seed_2027,2026,False,true_labels,6,22979,7021,0.1666666666666666,0.1912832929782082,0.9202392821535392,0.9214207071784796,0.9176746358249036,0.9202392821535392,1.5937426834613342,0.892800743082171,0.2909174698910305,0.1623641313955866,0.0391370660759303
encoder_seed_2027,2027,False,true_labels,6,22489,7511,0.1666666666666666,0.1978431633604047,0.9226467847157502,0.9126244847265718,0.9115791568606966,0.9226467847157502,1.608308245634501,0.9022144513946652,0.2743258442908084,0.1531041688363429,0.0332333881589778
encoder_seed_2027,2028,False,true_labels,6,22480,7520,0.1666666666666666,0.1976063829787234,0.9376329787234042,0.9318323378429358,0.9291967159617852,0.9376329787234042,1.6276495433480025,0.9125773052869884,0.2571475242615682,0.1435167658817259,0.0401732531482913
encoder_seed_2027,2029,False,true_labels,6,22889,7111,0.1666666666666666,0.1868935452116439,0.953452397693714,0.950475547747474,0.9491670966739276,0.953452397693714,1.6537091539871644,0.926529111434906,0.289544524743785,0.161597876119237,0.0712580984575623
encoder_seed_2027,2030,False,true_labels,6,22572,7428,0.1666666666666666,0.1743403338718362,0.932283252557889,0.9322852377123684,0.9306349558178578,0.932283252557889,1.6223752728200422,0.9066613476466282,0.2925866341017359,0.1632957096790404,0.0535316914746164
encoder_seed_2027,2031,False,true_labels,6,22764,7236,0.1666666666666666,0.1784134881149806,0.9228855721393034,0.9168752707196663,0.9145246819683788,0.9228855721393034,1.6030303727202155,0.8969818632502518,0.2947038714985088,0.164477362369111,0.0439886551549658
encoder_seed_2027,2032,False,true_labels,6,22717,7283,0.1666666666666666,0.1805574625840999,0.9162433063298092,0.9136843790734702,0.9136889777014076,0.9162433063298092,1.589045821546987,0.8902158141674449,0.2676989039553821,0.1494056030136204,0.0301177532378878
encoder_seed_2027,2033,False,true_labels,6,22286,7714,0.1666666666666666,0.18796992481203,0.8889032927145449,0.8798229062512318,0.8788019941730255,0.8889032927145449,1.565627694679559,0.877973419165096,0.2523442419608967,0.1408360029873956,0.0221737524036241
encoder_seed_2027,2034,False,true_labels,6,22765,7235,0.1666666666666666,0.1910158949550794,0.946233586731168,0.9400570238297312,0.9382736235292702,0.946233586731168,1.6378185995638948,0.9189763863684826,0.2840539249768815,0.1585335140431883,0.0642095652567658
encoder_seed_2027,2035,False,true_labels,6,22461,7539,0.1666666666666666,0.1944554980766679,0.9315559092717868,0.923533157150289,0.9209678705340976,0.9315559092717868,1.6173732417849285,0.9072579348630112,0.2649196643986186,0.1478544798832592,0.0410321731663081
encoder_seed_2027,2026,True,train_labels_permuted_only,6,22979,7021,0.1666666666666666,0.1912832929782082,0.1492664862555191,0.1492439319823544,0.1468281024683805,0.2948297963253098,0.1656023587197717,0.0935192066675022,1.7674151539471097,0.9864131789455904,0.050944887068834
