run_label,seed,shuffled_label_control,dataset,true_fraction,predicted_fraction
encoder_seed_2026,2026,False,emg2pose,0.1912832929782082,0.1612305939324882
encoder_seed_2026,2026,False,emg2qwerty,0.134453781512605,0.1609457342258937
encoder_seed_2026,2026,False,harmonic,0.1380145278450363,0.1380145278450363
encoder_seed_2026,2026,False,ninapro_db10_meganepro,0.1787494658880501,0.1784646061814556
encoder_seed_2026,2026,False,physionet_grabmyo,0.1787494658880501,0.1790343255946446
encoder_seed_2026,2026,False,physionet_hyser,0.1787494658880501,0.1823102122204814
encoder_seed_2026,2027,False,emg2pose,0.1808014911463187,0.167487684729064
encoder_seed_2026,2027,False,emg2qwerty,0.1200905338836373,0.1324723738516842
encoder_seed_2026,2027,False,harmonic,0.1978431633604047,0.1978431633604047
encoder_seed_2026,2027,False,ninapro_db10_meganepro,0.1666888563440287,0.1666888563440287
encoder_seed_2026,2027,False,physionet_grabmyo,0.1676208227932366,0.1676208227932366
encoder_seed_2026,2027,False,physionet_hyser,0.1669551324723738,0.1678870989215816
encoder_seed_2026,2028,False,emg2pose,0.1799202127659574,0.1598404255319148
encoder_seed_2026,2028,False,emg2qwerty,0.119813829787234,0.139627659574468
encoder_seed_2026,2028,False,harmonic,0.1976063829787234,0.1976063829787234
encoder_seed_2026,2028,False,ninapro_db10_meganepro,0.1682180851063829,0.1683510638297872
encoder_seed_2026,2028,False,physionet_grabmyo,0.1716755319148936,0.1715425531914893
encoder_seed_2026,2028,False,physionet_hyser,0.1627659574468085,0.163031914893617
encoder_seed_2026,2029,False,emg2pose,0.1868935452116439,0.1805653213331458
encoder_seed_2026,2029,False,emg2qwerty,0.1268457319645619,0.13317395584306
encoder_seed_2026,2029,False,harmonic,0.1511742370974546,0.1511742370974546
encoder_seed_2026,2029,False,ninapro_db10_meganepro,0.1788777949655463,0.1788777949655463
encoder_seed_2026,2029,False,physionet_grabmyo,0.180002812543946,0.180002812543946
encoder_seed_2026,2029,False,physionet_hyser,0.1762058782168471,0.1762058782168471
encoder_seed_2026,2030,False,emg2pose,0.170974690360797,0.1409531502423263
encoder_seed_2026,2030,False,emg2qwerty,0.1557619816908993,0.1843026386645126
encoder_seed_2026,2030,False,harmonic,0.1743403338718362,0.1744749596122778
encoder_seed_2026,2030,False,ninapro_db10_meganepro,0.165589660743134,0.165589660743134
encoder_seed_2026,2030,False,physionet_grabmyo,0.1715131933225632,0.1715131933225632
encoder_seed_2026,2030,False,physionet_hyser,0.16182014001077,0.1631663974151858
encoder_seed_2026,2031,False,emg2pose,0.1784134881149806,0.158098396904367
encoder_seed_2026,2031,False,emg2qwerty,0.1264510779436152,0.1433112216694306
encoder_seed_2026,2031,False,harmonic,0.1782752902155887,0.1782752902155887
encoder_seed_2026,2031,False,ninapro_db10_meganepro,0.1706744057490326,0.1706744057490326
encoder_seed_2026,2031,False,physionet_grabmyo,0.175787728026534,0.175787728026534
encoder_seed_2026,2031,False,physionet_hyser,0.1703980099502487,0.173852957435047
encoder_seed_2026,2032,False,emg2pose,0.1805574625840999,0.2122751613346148
encoder_seed_2026,2032,False,emg2qwerty,0.1543320060414664,0.1198681861870108
encoder_seed_2026,2032,False,harmonic,0.1552931484278456,0.1555677605382397
encoder_seed_2026,2032,False,ninapro_db10_meganepro,0.1705341205547164,0.1705341205547164
encoder_seed_2026,2032,False,physionet_grabmyo,0.168886447892352,0.168886447892352
encoder_seed_2026,2032,False,physionet_hyser,0.1703968144995194,0.172868323493066
encoder_seed_2026,2033,False,emg2pose,0.1716359865180191,0.199118485869847
encoder_seed_2026,2033,False,emg2qwerty,0.1457091003370495,0.1158931812289344
encoder_seed_2026,2033,False,harmonic,0.18796992481203,0.1882291936738397
encoder_seed_2026,2033,False,ninapro_db10_meganepro,0.1624319419237749,0.1624319419237749
encoder_seed_2026,2033,False,physionet_grabmyo,0.1664506092818252,0.1663209748509204
encoder_seed_2026,2033,False,physionet_hyser,0.165802437127301,0.1680062224526834
encoder_seed_2026,2034,False,emg2pose,0.1910158949550794,0.1777470628887353
encoder_seed_2026,2034,False,emg2qwerty,0.1143054595715273,0.1271596406357982
encoder_seed_2026,2034,False,harmonic,0.1752591568762957,0.1752591568762957
encoder_seed_2026,2034,False,ninapro_db10_meganepro,0.1729094678645473,0.1729094678645473
encoder_seed_2026,2034,False,physionet_grabmyo,0.1749827228749136,0.1749827228749136
encoder_seed_2026,2034,False,physionet_hyser,0.1715272978576364,0.1719419488597097
encoder_seed_2026,2035,False,emg2pose,0.1814564265817747,0.1673962063934208
encoder_seed_2026,2035,False,emg2qwerty,0.1156652075872131,0.1287969226687889
encoder_seed_2026,2035,False,harmonic,0.1944554980766679,0.1944554980766679
encoder_seed_2026,2035,False,ninapro_db10_meganepro,0.1650086218331343,0.1647433346597692
encoder_seed_2026,2035,False,physionet_grabmyo,0.1721713755139939,0.172436662687359
encoder_seed_2026,2035,False,physionet_hyser,0.1712428704072158,0.1721713755139939
encoder_seed_2026,2026,True,emg2pose,0.1912832929782082,0.1682096567440535
encoder_seed_2026,2026,True,emg2qwerty,0.134453781512605,0.1385842472582253
encoder_seed_2026,2026,True,harmonic,0.1380145278450363,0.1751887195556188
encoder_seed_2026,2026,True,ninapro_db10_meganepro,0.1787494658880501,0.1175046289702321
encoder_seed_2026,2026,True,physionet_grabmyo,0.1787494658880501,0.2724683093576414
encoder_seed_2026,2026,True,physionet_hyser,0.1787494658880501,0.1280444381142287
encoder_seed_2026,2027,True,emg2pose,0.1808014911463187,0.1625615763546798
encoder_seed_2026,2027,True,emg2qwerty,0.1200905338836373,0.146318732525629
encoder_seed_2026,2027,True,harmonic,0.1978431633604047,0.2875782186127014
encoder_seed_2026,2027,True,ninapro_db10_meganepro,0.1666888563440287,0.0986553055518572
encoder_seed_2026,2027,True,physionet_grabmyo,0.1676208227932366,0.1579017441086406
encoder_seed_2026,2027,True,physionet_hyser,0.1669551324723738,0.1469844228464918
encoder_seed_2026,2028,True,emg2pose,0.1799202127659574,0.1371010638297872
encoder_seed_2026,2028,True,emg2qwerty,0.119813829787234,0.1102393617021276
encoder_seed_2026,2028,True,harmonic,0.1976063829787234,0.1636968085106383
encoder_seed_2026,2028,True,ninapro_db10_meganepro,0.1682180851063829,0.1644946808510638
encoder_seed_2026,2028,True,physionet_grabmyo,0.1716755319148936,0.2360372340425532
encoder_seed_2026,2028,True,physionet_hyser,0.1627659574468085,0.1884308510638297
encoder_seed_2026,2029,True,emg2pose,0.1868935452116439,0.1684713823653494
encoder_seed_2026,2029,True,emg2qwerty,0.1268457319645619,0.230066094782731
encoder_seed_2026,2029,True,harmonic,0.1511742370974546,0.1750808606384474
encoder_seed_2026,2029,True,ninapro_db10_meganepro,0.1788777949655463,0.1281113767402615
encoder_seed_2026,2029,True,physionet_grabmyo,0.180002812543946,0.1383771621431584
encoder_seed_2026,2029,True,physionet_hyser,0.1762058782168471,0.159893123330052
encoder_seed_2026,2030,True,emg2pose,0.170974690360797,0.1647819063004846
encoder_seed_2026,2030,True,emg2qwerty,0.1557619816908993,0.1506462035541195
encoder_seed_2026,2030,True,harmonic,0.1743403338718362,0.1736672051696284
encoder_seed_2026,2030,True,ninapro_db10_meganepro,0.165589660743134,0.106085083467959
encoder_seed_2026,2030,True,physionet_grabmyo,0.1715131933225632,0.1895530425417339
encoder_seed_2026,2030,True,physionet_hyser,0.16182014001077,0.2152665589660743
encoder_seed_2026,2031,True,emg2pose,0.1784134881149806,0.1334991708126036
encoder_seed_2026,2031,True,emg2qwerty,0.1264510779436152,0.1401326699834162
encoder_seed_2026,2031,True,harmonic,0.1782752902155887,0.1437258153676064
encoder_seed_2026,2031,True,ninapro_db10_meganepro,0.1706744057490326,0.1496683250414593
encoder_seed_2026,2031,True,physionet_grabmyo,0.175787728026534,0.1426202321724709
encoder_seed_2026,2031,True,physionet_hyser,0.1703980099502487,0.2903537866224433
encoder_seed_2026,2032,True,emg2pose,0.1805574625840999,0.1440340519016888
encoder_seed_2026,2032,True,emg2qwerty,0.1543320060414664,0.1583138816421804
encoder_seed_2026,2032,True,harmonic,0.1552931484278456,0.2433063298091445
encoder_seed_2026,2032,True,ninapro_db10_meganepro,0.1705341205547164,0.1746533022106275
encoder_seed_2026,2032,True,physionet_grabmyo,0.168886447892352,0.1396402581353837
encoder_seed_2026,2032,True,physionet_hyser,0.1703968144995194,0.1400521763009748
encoder_seed_2026,2033,True,emg2pose,0.1716359865180191,0.1779880736323567
encoder_seed_2026,2033,True,emg2qwerty,0.1457091003370495,0.1488203266787658
encoder_seed_2026,2033,True,harmonic,0.18796992481203,0.1479128856624319
encoder_seed_2026,2033,True,ninapro_db10_meganepro,0.1624319419237749,0.2236193933108633
encoder_seed_2026,2033,True,physionet_grabmyo,0.1664506092818252,0.1623023074928701
encoder_seed_2026,2033,True,physionet_hyser,0.165802437127301,0.1393570132227119
encoder_seed_2026,2034,True,emg2pose,0.1910158949550794,0.2345542501727712
encoder_seed_2026,2034,True,emg2qwerty,0.1143054595715273,0.1549412577747063
encoder_seed_2026,2034,True,harmonic,0.1752591568762957,0.1640635798203179
encoder_seed_2026,2034,True,ninapro_db10_meganepro,0.1729094678645473,0.1372494816862474
encoder_seed_2026,2034,True,physionet_grabmyo,0.1749827228749136,0.1572909467864547
encoder_seed_2026,2034,True,physionet_hyser,0.1715272978576364,0.1519004837595024
encoder_seed_2026,2035,True,emg2pose,0.1814564265817747,0.1181854357341822
encoder_seed_2026,2035,True,emg2qwerty,0.1156652075872131,0.1745589600742804
encoder_seed_2026,2035,True,harmonic,0.1944554980766679,0.1638148295529911
