run_label,seed,shuffled_label_control,true_dataset,pred_dataset,count,row_fraction
encoder_seed_2026,2026,False,emg2pose,emg2pose,973,0.7244973938942666
encoder_seed_2026,2026,False,emg2pose,emg2qwerty,346,0.2576321667907669
encoder_seed_2026,2026,False,emg2pose,harmonic,0,0.0
encoder_seed_2026,2026,False,emg2pose,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2026,False,emg2pose,physionet_grabmyo,0,0.0
encoder_seed_2026,2026,False,emg2pose,physionet_hyser,24,0.0178704393149664
encoder_seed_2026,2026,False,emg2qwerty,emg2pose,158,0.1673728813559322
encoder_seed_2026,2026,False,emg2qwerty,emg2qwerty,784,0.8305084745762712
encoder_seed_2026,2026,False,emg2qwerty,harmonic,0,0.0
encoder_seed_2026,2026,False,emg2qwerty,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2026,False,emg2qwerty,physionet_grabmyo,0,0.0
encoder_seed_2026,2026,False,emg2qwerty,physionet_hyser,2,0.0021186440677966
encoder_seed_2026,2026,False,harmonic,emg2pose,0,0.0
encoder_seed_2026,2026,False,harmonic,emg2qwerty,0,0.0
encoder_seed_2026,2026,False,harmonic,harmonic,969,1.0
encoder_seed_2026,2026,False,harmonic,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2026,False,harmonic,physionet_grabmyo,0,0.0
encoder_seed_2026,2026,False,harmonic,physionet_hyser,0,0.0
encoder_seed_2026,2026,False,ninapro_db10_meganepro,emg2pose,0,0.0
encoder_seed_2026,2026,False,ninapro_db10_meganepro,emg2qwerty,0,0.0
encoder_seed_2026,2026,False,ninapro_db10_meganepro,harmonic,0,0.0
encoder_seed_2026,2026,False,ninapro_db10_meganepro,ninapro_db10_meganepro,1253,0.998406374501992
encoder_seed_2026,2026,False,ninapro_db10_meganepro,physionet_grabmyo,2,0.0015936254980079
encoder_seed_2026,2026,False,ninapro_db10_meganepro,physionet_hyser,0,0.0
encoder_seed_2026,2026,False,physionet_grabmyo,emg2pose,0,0.0
encoder_seed_2026,2026,False,physionet_grabmyo,emg2qwerty,0,0.0
encoder_seed_2026,2026,False,physionet_grabmyo,harmonic,0,0.0
encoder_seed_2026,2026,False,physionet_grabmyo,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2026,False,physionet_grabmyo,physionet_grabmyo,1255,1.0
encoder_seed_2026,2026,False,physionet_grabmyo,physionet_hyser,0,0.0
encoder_seed_2026,2026,False,physionet_hyser,emg2pose,1,0.0007968127490039
encoder_seed_2026,2026,False,physionet_hyser,emg2qwerty,0,0.0
encoder_seed_2026,2026,False,physionet_hyser,harmonic,0,0.0
encoder_seed_2026,2026,False,physionet_hyser,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2026,False,physionet_hyser,physionet_grabmyo,0,0.0
encoder_seed_2026,2026,False,physionet_hyser,physionet_hyser,1254,0.999203187250996
encoder_seed_2026,2027,False,emg2pose,emg2pose,1026,0.7555228276877761
encoder_seed_2026,2027,False,emg2pose,emg2qwerty,328,0.2415316642120765
encoder_seed_2026,2027,False,emg2pose,harmonic,0,0.0
encoder_seed_2026,2027,False,emg2pose,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2027,False,emg2pose,physionet_grabmyo,0,0.0
encoder_seed_2026,2027,False,emg2pose,physionet_hyser,4,0.0029455081001472
encoder_seed_2026,2027,False,emg2qwerty,emg2pose,232,0.2572062084257206
encoder_seed_2026,2027,False,emg2qwerty,emg2qwerty,667,0.7394678492239468
encoder_seed_2026,2027,False,emg2qwerty,harmonic,0,0.0
encoder_seed_2026,2027,False,emg2qwerty,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2027,False,emg2qwerty,physionet_grabmyo,0,0.0
encoder_seed_2026,2027,False,emg2qwerty,physionet_hyser,3,0.0033259423503325
encoder_seed_2026,2027,False,harmonic,emg2pose,0,0.0
encoder_seed_2026,2027,False,harmonic,emg2qwerty,0,0.0
encoder_seed_2026,2027,False,harmonic,harmonic,1486,1.0
encoder_seed_2026,2027,False,harmonic,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2027,False,harmonic,physionet_grabmyo,0,0.0
encoder_seed_2026,2027,False,harmonic,physionet_hyser,0,0.0
encoder_seed_2026,2027,False,ninapro_db10_meganepro,emg2pose,0,0.0
encoder_seed_2026,2027,False,ninapro_db10_meganepro,emg2qwerty,0,0.0
encoder_seed_2026,2027,False,ninapro_db10_meganepro,harmonic,0,0.0
encoder_seed_2026,2027,False,ninapro_db10_meganepro,ninapro_db10_meganepro,1252,1.0
encoder_seed_2026,2027,False,ninapro_db10_meganepro,physionet_grabmyo,0,0.0
encoder_seed_2026,2027,False,ninapro_db10_meganepro,physionet_hyser,0,0.0
encoder_seed_2026,2027,False,physionet_grabmyo,emg2pose,0,0.0
encoder_seed_2026,2027,False,physionet_grabmyo,emg2qwerty,0,0.0
encoder_seed_2026,2027,False,physionet_grabmyo,harmonic,0,0.0
encoder_seed_2026,2027,False,physionet_grabmyo,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2027,False,physionet_grabmyo,physionet_grabmyo,1259,1.0
encoder_seed_2026,2027,False,physionet_grabmyo,physionet_hyser,0,0.0
encoder_seed_2026,2027,False,physionet_hyser,emg2pose,0,0.0
encoder_seed_2026,2027,False,physionet_hyser,emg2qwerty,0,0.0
encoder_seed_2026,2027,False,physionet_hyser,harmonic,0,0.0
encoder_seed_2026,2027,False,physionet_hyser,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2027,False,physionet_hyser,physionet_grabmyo,0,0.0
encoder_seed_2026,2027,False,physionet_hyser,physionet_hyser,1254,1.0
encoder_seed_2026,2028,False,emg2pose,emg2pose,1031,0.762010347376201
encoder_seed_2026,2028,False,emg2pose,emg2qwerty,320,0.2365114560236511
encoder_seed_2026,2028,False,emg2pose,harmonic,0,0.0
encoder_seed_2026,2028,False,emg2pose,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2028,False,emg2pose,physionet_grabmyo,0,0.0
encoder_seed_2026,2028,False,emg2pose,physionet_hyser,2,0.0014781966001478
encoder_seed_2026,2028,False,emg2qwerty,emg2pose,170,0.1886792452830188
encoder_seed_2026,2028,False,emg2qwerty,emg2qwerty,730,0.8102108768035516
encoder_seed_2026,2028,False,emg2qwerty,harmonic,0,0.0
encoder_seed_2026,2028,False,emg2qwerty,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2028,False,emg2qwerty,physionet_grabmyo,0,0.0
encoder_seed_2026,2028,False,emg2qwerty,physionet_hyser,1,0.0011098779134295
encoder_seed_2026,2028,False,harmonic,emg2pose,0,0.0
encoder_seed_2026,2028,False,harmonic,emg2qwerty,0,0.0
encoder_seed_2026,2028,False,harmonic,harmonic,1486,1.0
encoder_seed_2026,2028,False,harmonic,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2028,False,harmonic,physionet_grabmyo,0,0.0
encoder_seed_2026,2028,False,harmonic,physionet_hyser,0,0.0
encoder_seed_2026,2028,False,ninapro_db10_meganepro,emg2pose,0,0.0
encoder_seed_2026,2028,False,ninapro_db10_meganepro,emg2qwerty,0,0.0
encoder_seed_2026,2028,False,ninapro_db10_meganepro,harmonic,0,0.0
encoder_seed_2026,2028,False,ninapro_db10_meganepro,ninapro_db10_meganepro,1265,1.0
encoder_seed_2026,2028,False,ninapro_db10_meganepro,physionet_grabmyo,0,0.0
encoder_seed_2026,2028,False,ninapro_db10_meganepro,physionet_hyser,0,0.0
encoder_seed_2026,2028,False,physionet_grabmyo,emg2pose,0,0.0
encoder_seed_2026,2028,False,physionet_grabmyo,emg2qwerty,0,0.0
encoder_seed_2026,2028,False,physionet_grabmyo,harmonic,0,0.0
encoder_seed_2026,2028,False,physionet_grabmyo,ninapro_db10_meganepro,1,0.0007745933384972
encoder_seed_2026,2028,False,physionet_grabmyo,physionet_grabmyo,1290,0.9992254066615028
encoder_seed_2026,2028,False,physionet_grabmyo,physionet_hyser,0,0.0
encoder_seed_2026,2028,False,physionet_hyser,emg2pose,1,0.0008169934640522
encoder_seed_2026,2028,False,physionet_hyser,emg2qwerty,0,0.0
encoder_seed_2026,2028,False,physionet_hyser,harmonic,0,0.0
encoder_seed_2026,2028,False,physionet_hyser,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2028,False,physionet_hyser,physionet_grabmyo,0,0.0
encoder_seed_2026,2028,False,physionet_hyser,physionet_hyser,1223,0.9991830065359476
encoder_seed_2026,2029,False,emg2pose,emg2pose,1126,0.8472535741158767
encoder_seed_2026,2029,False,emg2pose,emg2qwerty,202,0.1519939804364183
encoder_seed_2026,2029,False,emg2pose,harmonic,0,0.0
encoder_seed_2026,2029,False,emg2pose,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2029,False,emg2pose,physionet_grabmyo,0,0.0
encoder_seed_2026,2029,False,emg2pose,physionet_hyser,1,0.000752445447705
encoder_seed_2026,2029,False,emg2qwerty,emg2pose,157,0.1740576496674057
encoder_seed_2026,2029,False,emg2qwerty,emg2qwerty,745,0.8259423503325942
encoder_seed_2026,2029,False,emg2qwerty,harmonic,0,0.0
encoder_seed_2026,2029,False,emg2qwerty,ninapro_db10_meganepro,0,0.0
encoder_seed_2026,2029,False,emg2qwerty,physionet_grabmyo,0,0.0
encoder_seed_2026,2029,False,emg2qwerty,physionet_hyser,0,0.0
