run_label,seed,shuffled_label_control,dataset,true_support,predicted_support,recall
encoder_seed_2026,2030,True,ninapro_db10_meganepro,1230,788,0.032520325203252
encoder_seed_2026,2030,True,physionet_grabmyo,1274,1408,0.3602825745682888
encoder_seed_2026,2030,True,physionet_hyser,1202,1599,0.1638935108153078
encoder_seed_2026,2031,True,emg2pose,1291,966,0.1704105344694035
encoder_seed_2026,2031,True,emg2qwerty,915,1014,0.1551912568306011
encoder_seed_2026,2031,True,harmonic,1290,1040,0.0023255813953488
encoder_seed_2026,2031,True,ninapro_db10_meganepro,1235,1083,0.1570850202429149
encoder_seed_2026,2031,True,physionet_grabmyo,1272,1032,0.1328616352201257
encoder_seed_2026,2031,True,physionet_hyser,1233,2101,0.1021897810218978
encoder_seed_2026,2032,True,emg2pose,1315,1049,0.155893536121673
encoder_seed_2026,2032,True,emg2qwerty,1124,1153,0.143238434163701
encoder_seed_2026,2032,True,harmonic,1131,1772,0.8452696728558797
encoder_seed_2026,2032,True,ninapro_db10_meganepro,1242,1272,0.2809983896940419
encoder_seed_2026,2032,True,physionet_grabmyo,1230,1017,0.2056910569105691
encoder_seed_2026,2032,True,physionet_hyser,1241,1020,0.1434327155519742
encoder_seed_2026,2033,True,emg2pose,1324,1373,0.1563444108761329
encoder_seed_2026,2033,True,emg2qwerty,1124,1148,0.1574733096085409
encoder_seed_2026,2033,True,harmonic,1450,1141,0.0068965517241379
encoder_seed_2026,2033,True,ninapro_db10_meganepro,1253,1725,0.0710295291300878
encoder_seed_2026,2033,True,physionet_grabmyo,1284,1252,0.146417445482866
encoder_seed_2026,2033,True,physionet_hyser,1279,1075,0.2971071149335418
encoder_seed_2026,2034,True,emg2pose,1382,1697,0.1570188133140376
encoder_seed_2026,2034,True,emg2qwerty,827,1121,0.2406287787182587
encoder_seed_2026,2034,True,harmonic,1268,1187,0.2042586750788643
encoder_seed_2026,2034,True,ninapro_db10_meganepro,1251,993,0.0839328537170263
encoder_seed_2026,2034,True,physionet_grabmyo,1266,1138,0.2282780410742496
encoder_seed_2026,2034,True,physionet_hyser,1241,1099,0.1184528605962933
encoder_seed_2026,2035,True,emg2pose,1368,891,0.1652046783625731
encoder_seed_2026,2035,True,emg2qwerty,872,1316,0.1169724770642201
encoder_seed_2026,2035,True,harmonic,1466,1235,0.3369713506139154
encoder_seed_2026,2035,True,ninapro_db10_meganepro,1244,847,0.0868167202572347
encoder_seed_2026,2035,True,physionet_grabmyo,1298,1264,0.3189522342064715
encoder_seed_2026,2035,True,physionet_hyser,1291,1986,0.3013168086754454
encoder_seed_2027,2026,False,emg2pose,1343,1128,0.7125837676842889
encoder_seed_2027,2026,False,emg2qwerty,944,1136,0.8167372881355932
encoder_seed_2027,2026,False,harmonic,969,969,1.0
encoder_seed_2027,2026,False,ninapro_db10_meganepro,1255,1254,0.999203187250996
encoder_seed_2027,2026,False,physionet_grabmyo,1255,1257,1.0
encoder_seed_2027,2026,False,physionet_hyser,1255,1277,1.0
encoder_seed_2027,2027,False,emg2pose,1358,1292,0.7628865979381443
encoder_seed_2027,2027,False,emg2qwerty,902,962,0.7128603104212861
encoder_seed_2027,2027,False,harmonic,1486,1487,1.0
encoder_seed_2027,2027,False,ninapro_db10_meganepro,1252,1252,1.0
encoder_seed_2027,2027,False,physionet_grabmyo,1259,1259,1.0
encoder_seed_2027,2027,False,physionet_hyser,1254,1259,1.0
encoder_seed_2027,2028,False,emg2pose,1353,1219,0.7782705099778271
encoder_seed_2027,2028,False,emg2qwerty,901,1030,0.8135405105438401
encoder_seed_2027,2028,False,harmonic,1486,1486,1.0
encoder_seed_2027,2028,False,ninapro_db10_meganepro,1265,1267,1.0
encoder_seed_2027,2028,False,physionet_grabmyo,1291,1291,1.0
encoder_seed_2027,2028,False,physionet_hyser,1224,1227,0.9991830065359476
encoder_seed_2027,2029,False,emg2pose,1329,1267,0.8525206922498119
encoder_seed_2027,2029,False,emg2qwerty,902,963,0.8503325942350333
encoder_seed_2027,2029,False,harmonic,1075,1075,1.0
encoder_seed_2027,2029,False,ninapro_db10_meganepro,1272,1272,1.0
encoder_seed_2027,2029,False,physionet_grabmyo,1280,1280,1.0
encoder_seed_2027,2029,False,physionet_hyser,1253,1254,1.0
encoder_seed_2027,2030,False,emg2pose,1270,1030,0.7094488188976378
encoder_seed_2027,2030,False,emg2qwerty,1157,1389,0.88504753673293
encoder_seed_2027,2030,False,harmonic,1295,1297,1.0
encoder_seed_2027,2030,False,ninapro_db10_meganepro,1230,1230,1.0
encoder_seed_2027,2030,False,physionet_grabmyo,1274,1273,0.999215070643642
encoder_seed_2027,2030,False,physionet_hyser,1202,1209,1.0
encoder_seed_2027,2031,False,emg2pose,1291,1146,0.7296669248644462
encoder_seed_2027,2031,False,emg2qwerty,915,1035,0.7715846994535519
encoder_seed_2027,2031,False,harmonic,1290,1290,1.0
encoder_seed_2027,2031,False,ninapro_db10_meganepro,1235,1235,1.0
encoder_seed_2027,2031,False,physionet_grabmyo,1272,1272,1.0
encoder_seed_2027,2031,False,physionet_hyser,1233,1258,1.0
encoder_seed_2027,2032,False,emg2pose,1315,1523,0.8539923954372624
encoder_seed_2027,2032,False,emg2qwerty,1124,893,0.6281138790035588
encoder_seed_2027,2032,False,harmonic,1131,1134,1.0
encoder_seed_2027,2032,False,ninapro_db10_meganepro,1242,1242,1.0
encoder_seed_2027,2032,False,physionet_grabmyo,1230,1230,1.0
encoder_seed_2027,2032,False,physionet_hyser,1241,1261,1.0
encoder_seed_2027,2033,False,emg2pose,1324,1546,0.7673716012084593
encoder_seed_2027,2033,False,emg2qwerty,1124,874,0.5115658362989324
encoder_seed_2027,2033,False,harmonic,1450,1452,1.0
encoder_seed_2027,2033,False,ninapro_db10_meganepro,1253,1254,1.0
encoder_seed_2027,2033,False,physionet_grabmyo,1284,1286,1.0
encoder_seed_2027,2033,False,physionet_hyser,1279,1302,1.0
encoder_seed_2027,2034,False,emg2pose,1382,1312,0.8350217076700435
encoder_seed_2027,2034,False,emg2qwerty,827,891,0.8053204353083434
encoder_seed_2027,2034,False,harmonic,1268,1270,1.0
encoder_seed_2027,2034,False,ninapro_db10_meganepro,1251,1251,1.0
encoder_seed_2027,2034,False,physionet_grabmyo,1266,1266,1.0
encoder_seed_2027,2034,False,physionet_hyser,1241,1245,1.0
encoder_seed_2027,2035,False,emg2pose,1368,1239,0.7675438596491229
encoder_seed_2027,2035,False,emg2qwerty,872,993,0.7752293577981652
encoder_seed_2027,2035,False,harmonic,1466,1467,1.0
encoder_seed_2027,2035,False,ninapro_db10_meganepro,1244,1246,0.9991961414790996
encoder_seed_2027,2035,False,physionet_grabmyo,1298,1299,0.9992295839753468
encoder_seed_2027,2035,False,physionet_hyser,1291,1295,1.0
encoder_seed_2027,2026,True,emg2pose,1343,1048,0.1422189128816083
encoder_seed_2027,2026,True,emg2qwerty,944,1046,0.1663135593220339
encoder_seed_2027,2026,True,harmonic,969,814,0.1279669762641898
