run_label,shuffled_label_control,n_seeds,n_classes,n_train_mean,n_test_mean,uniform_reference_mean,uniform_reference_sd,uniform_reference_min,uniform_reference_max,majority_reference_mean,majority_reference_sd,majority_reference_min,majority_reference_max,accuracy_mean,accuracy_sd,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_sd,macro_f1_min,macro_f1_max,optimal_relabel_accuracy_mean,optimal_relabel_accuracy_sd,optimal_relabel_accuracy_min,optimal_relabel_accuracy_max,mutual_info_mean,mutual_info_sd,mutual_info_min,mutual_info_max,normalized_mutual_info_mean,normalized_mutual_info_sd,normalized_mutual_info_min,normalized_mutual_info_max,mean_prediction_entropy_mean,mean_prediction_entropy_sd,mean_prediction_entropy_min,mean_prediction_entropy_max,normalized_prediction_entropy_mean,normalized_prediction_entropy_sd,normalized_prediction_entropy_min,normalized_prediction_entropy_max,ece_mean,ece_sd,ece_min,ece_max
encoder_seed_2026,False,10,6,22640.2,7359.8,0.1666666666666666,2.925694557147251e-17,0.1666666666666666,0.1666666666666666,0.1880378986943674,0.0080678331463704,0.1743403338718362,0.1978431633604047,0.9269701914962664,0.016994539462736,0.891495981332642,0.9494125777470628,0.9222263174124437,0.0180517359128139,0.8827397862017751,0.9453996399752508,0.9203556654307338,0.0176166221465251,0.8821028892875721,0.9444812555956984,0.9269701914962664,0.016994539462736,0.891495981332642,0.9494125777470628,1.6117399448827243,0.0235113608722887,1.5726361243931342,1.6450572559273042,0.903099158255767,0.0133823240958376,0.8816043981047067,0.9224497322216636,0.2889563689320684,0.0150077734968349,0.2677878159396178,0.306739930477319,0.16126962011065,0.0083759978694577,0.1494552257368502,0.1711948147869825,0.0464571436104154,0.0149567924388633,0.0263753645020554,0.0718360429143127
encoder_seed_2026,True,10,6,22640.2,7359.8,0.1666666666666666,2.925694557147251e-17,0.1666666666666666,0.1666666666666666,0.1880378986943674,0.0080678331463704,0.1743403338718362,0.1978431633604047,0.1795900930391391,0.05919869699754,0.1180210060807075,0.2886173280241658,0.1788261663068318,0.0573380291665758,0.120010634863382,0.2957539675496398,0.1745575705700203,0.0500498383167734,0.1224037743623966,0.2722941307940619,0.3253795995009311,0.0198217387863993,0.2996765574462101,0.3637368711995578,0.1970122402793151,0.0382342389598368,0.1339456009059263,0.2645436713605377,0.1111583935949079,0.0216867253538073,0.0753210737224841,0.1499068619009035,1.7655199955358534,0.005151188850388,1.754942756803815,1.773397990619676,0.9853554708972704,0.0028749332367738,0.9794522015613504,0.9897522636694702,0.0729070807718502,0.0381493044558252,0.0276509547861841,0.1567959647746562
encoder_seed_2027,False,10,6,22640.2,7359.8,0.1666666666666666,2.925694557147251e-17,0.1666666666666666,0.1666666666666666,0.1880378986943674,0.0080678331463704,0.1743403338718362,0.1978431633604047,0.9272076363030908,0.017887333345145,0.8889032927145449,0.953452397693714,0.9222611052232216,0.019158978830168,0.8798229062512318,0.950475547747474,0.920450970904535,0.0189286128289435,0.8788019941730255,0.9491670966739276,0.9272076363030908,0.017887333345145,0.8889032927145449,0.953452397693714,1.611868062954663,0.0255868968994949,1.565627694679559,1.6537091539871644,0.9032188376659646,0.0143846770845124,0.877973419165096,0.926529111434906,0.2768242604079216,0.0156294007614835,0.2523442419608967,0.2947038714985088,0.1544985614208507,0.0087229346516121,0.1408360029873956,0.164477362369111,0.043885539653493,0.0151814017158518,0.0221737524036241,0.0712580984575623
encoder_seed_2027,True,10,6,22640.2,7359.8,0.1666666666666666,2.925694557147251e-17,0.1666666666666666,0.1666666666666666,0.1880378986943674,0.0080678331463704,0.1743403338718362,0.1978431633604047,0.2063822848888579,0.0755956981925294,0.1151736745886654,0.3197361335487345,0.2038089577498893,0.072693927876297,0.1114023794990924,0.3125627556088952,0.1980964485097422,0.0642376087666606,0.1130063893399152,0.2934880304802609,0.3162134682337748,0.0336785682628527,0.2629728589509211,0.3803177167474421,0.2025503616815229,0.0512466062224722,0.127318892887025,0.2741186414138354,0.1145432217527336,0.0289872410518981,0.0721984178714007,0.1555524866493178,1.76544159471142,0.004550733981302,1.7559515069129863,1.771769124411387,0.985311714564024,0.0025398129935725,0.9800151957168136,0.9888431761293938,0.0843069979254007,0.0501478090188865,0.0289599050636867,0.170632365655566
encoder_seed_2028,False,10,6,22640.2,7359.8,0.1666666666666666,2.925694557147251e-17,0.1666666666666666,0.1666666666666666,0.1880378986943674,0.0080678331463704,0.1743403338718362,0.1978431633604047,0.9276612600701912,0.0173124304989243,0.892273787918071,0.9544367880748136,0.9227274510635108,0.0186194187000928,0.8835661910956768,0.9514665150915474,0.9209632273881124,0.0183414156266865,0.882915803644757,0.9502008604606064,0.9276612600701912,0.0173124304989243,0.892273787918071,0.9544367880748136,1.6120276341168285,0.0234655554756179,1.5731108570349126,1.6518711205313414,0.9033310073471568,0.0133407095539569,0.8818731194209999,0.9255383293458096,0.287721517315309,0.0167243899158754,0.265213999929113,0.3067126535577902,0.1605804363011226,0.0093340597346366,0.1480187516705997,0.1711795912483339,0.0458448830776157,0.0164594803345012,0.0248869115955436,0.0772109655508181
encoder_seed_2028,True,10,6,22640.2,7359.8,0.1666666666666666,2.925694557147251e-17,0.1666666666666666,0.1666666666666666,0.1880378986943674,0.0080678331463704,0.1743403338718362,0.1978431633604047,0.1813856279919309,0.0636159619091963,0.1063829787234042,0.3016614032678841,0.1811283135438501,0.0616063829426209,0.110597427071542,0.3098270262408926,0.1778691793600934,0.0542061740432354,0.1181546548123387,0.2877027477008562,0.3178106682689263,0.0247176596728456,0.2736605259457179,0.3599734042553191,0.2043841821037808,0.039257404093442,0.1355265861260186,0.2439414644271358,0.115320664009831,0.0224050010781481,0.0765130683158928,0.1390749193466224,1.7656941649208115,0.0046235123243758,1.7556510564779713,1.7725287232224554,0.9854526766818352,0.0025804313602248,0.9798475111362798,0.9892671162977668,0.0751235349118592,0.0352178977551663,0.0415461963097342,0.1435124229715639
encoder_seed_2029,False,10,6,22640.2,7359.8,0.1666666666666666,2.925694557147251e-17,0.1666666666666666,0.1666666666666666,0.1880378986943674,0.0080678331463704,0.1743403338718362,0.1978431633604047,0.9280501183134732,0.0168867190441522,0.8952553798288826,0.95286800276434,0.9235464557910692,0.018003924674511,0.8871558202793217,0.948910157767571,0.9216222058093032,0.0175189076277353,0.88685814890827,0.9469522012816972,0.9280501183134732,0.0168867190441522,0.8952553798288826,0.95286800276434,1.6116849179069308,0.0240144693493077,1.5751023879568504,1.6487126824953675,0.902984102963701,0.013759107826931,0.8824203002383739,0.9247640946619968,0.2777048734206221,0.0148519988739179,0.2548727157063287,0.2922715285422071,0.1549900409011182,0.0082890583970607,0.142247171053677,0.163119845917782,0.0442615886601886,0.015840331328229,0.0232100237487705,0.0709227764233298
encoder_seed_2029,True,10,6,22640.2,7359.8,0.1666666666666666,2.925694557147251e-17,0.1666666666666666,0.1666666666666666,0.1880378986943674,0.0080678331463704,0.1743403338718362,0.1978431633604047,0.1781488253724227,0.0520485908333631,0.1075797872340425,0.2855965948098311,0.1779315846009181,0.0520796562037637,0.1111053892423066,0.293527498958501,0.1757312909467183,0.0446169482635053,0.1150759657648046,0.2713160182794121,0.3138419204420975,0.0248189440496504,0.2522851919561243,0.3536484245439469,0.187250371196851,0.038079290941382,0.1273143037241474,0.2664604416250894,0.105671268299055,0.021636523018174,0.0720544665321423,0.1511105317736283,1.7657483208227525,0.0049537574843016,1.7550757003367885,1.7725056011776228,0.9854829016661992,0.0027647446933465,0.9795263987598342,0.9892542116388384,0.062397444275342,0.0362771928056225,0.0212766830299405,0.1335973654424965
encoder_seed_2030,False,10,6,22640.2,7359.8,0.1666666666666666,2.925694557147251e-17,0.1666666666666666,0.1666666666666666,0.1880378986943674,0.0080678331463704,0.1743403338718362,0.1978431633604047,0.9275284698008974,0.0155606725969801,0.894866476536168,0.9495148361693152,0.9223313652545396,0.0164476211368738,0.8871365573247608,0.9460142636517684,0.920906646875198,0.0161999904758203,0.8869361063252773,0.9448456082233704,0.9275284698008974,0.0155606725969801,0.894866476536168,0.9495148361693152,1.6116449627367135,0.0216671927918949,1.5753308475237866,1.645887532601547,0.9029146782503326,0.0126994263422095,0.8820274135901961,0.9222017544685988,0.2817603207823428,0.0147333767384857,0.2590589598933925,0.2987046495527179,0.1572534291691137,0.0082228541227318,0.1445835584198157,0.1667102391156381,0.0455984829691937,0.0138227445307274,0.0281387888124778,0.0715223113127815
encoder_seed_2030,True,10,6,22640.2,7359.8,0.1666666666666666,2.925694557147251e-17,0.1666666666666666,0.1666666666666666,0.1880378986943674,0.0080678331463704,0.1743403338718362,0.1978431633604047,0.2016729972833918,0.0481981928309682,0.1463572724915737,0.2750240285596594,0.1997725362633535,0.0455494976757628,0.1495451321528259,0.2825069876549005,0.1960459210986396,0.0408876430836464,0.1505602702349537,0.2626278380271428,0.3177886012899169,0.025188858962853,0.2743636619322177,0.3445749827228749,0.193184202480376,0.0456205921300542,0.1257872427659297,0.2476034897270726,0.1090361627605835,0.0256207765751782,0.0710804439746257,0.1400292499088108,1.765439087895882,0.0045136343036928,1.7559147512655984,1.7723905031432907,0.9853103154836328,0.0025191072692572,0.9799946819994206,0.9891899742027824,0.060383723562639,0.0407548743485007,0.023610728405016,0.1249973305556656
