dataset,protocol,subject_id,unit,seed,model,metric,aulc
physionet_grabmyo,heldout_subject_fewshot,S02,physionet_grabmyo::heldout_subject::S02,2033,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.41447979500576987
physionet_grabmyo,heldout_subject_fewshot,S02,physionet_grabmyo::heldout_subject::S02,2033,raw_stats_plus_signal,balanced_acc,0.3514131595184813
physionet_grabmyo,heldout_subject_fewshot,S02,physionet_grabmyo::heldout_subject::S02,2034,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.4051167110379665
physionet_grabmyo,heldout_subject_fewshot,S02,physionet_grabmyo::heldout_subject::S02,2034,raw_stats_plus_signal,balanced_acc,0.38629426629811126
physionet_grabmyo,heldout_subject_fewshot,S02,physionet_grabmyo::heldout_subject::S02,2035,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.42502793005923617
physionet_grabmyo,heldout_subject_fewshot,S02,physionet_grabmyo::heldout_subject::S02,2035,raw_stats_plus_signal,balanced_acc,0.3653178886469489
physionet_grabmyo,heldout_subject_fewshot,S03,physionet_grabmyo::heldout_subject::S03,2026,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.4172613649896963
physionet_grabmyo,heldout_subject_fewshot,S03,physionet_grabmyo::heldout_subject::S03,2026,raw_stats_plus_signal,balanced_acc,0.3686902082048921
physionet_grabmyo,heldout_subject_fewshot,S03,physionet_grabmyo::heldout_subject::S03,2027,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.3855684614254344
physionet_grabmyo,heldout_subject_fewshot,S03,physionet_grabmyo::heldout_subject::S03,2027,raw_stats_plus_signal,balanced_acc,0.36750326364524755
physionet_grabmyo,heldout_subject_fewshot,S03,physionet_grabmyo::heldout_subject::S03,2028,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.35764786294191886
physionet_grabmyo,heldout_subject_fewshot,S03,physionet_grabmyo::heldout_subject::S03,2028,raw_stats_plus_signal,balanced_acc,0.3095620823502536
physionet_grabmyo,heldout_subject_fewshot,S03,physionet_grabmyo::heldout_subject::S03,2029,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.4570396066431919
physionet_grabmyo,heldout_subject_fewshot,S03,physionet_grabmyo::heldout_subject::S03,2029,raw_stats_plus_signal,balanced_acc,0.3932852293535245
physionet_grabmyo,heldout_subject_fewshot,S03,physionet_grabmyo::heldout_subject::S03,2030,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.3964463314150913
physionet_grabmyo,heldout_subject_fewshot,S03,physionet_grabmyo::heldout_subject::S03,2030,raw_stats_plus_signal,balanced_acc,0.38281568803905197
physionet_grabmyo,heldout_subject_fewshot,S03,physionet_grabmyo::heldout_subject::S03,2031,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.39581523279499614
physionet_grabmyo,heldout_subject_fewshot,S03,physionet_grabmyo::heldout_subject::S03,2031,raw_stats_plus_signal,balanced_acc,0.3803408893404195
physionet_grabmyo,heldout_subject_fewshot,S03,physionet_grabmyo::heldout_subject::S03,2032,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.40934002666880376
physionet_grabmyo,heldout_subject_fewshot,S03,physionet_grabmyo::heldout_subject::S03,2032,raw_stats_plus_signal,balanced_acc,0.3488523449863437
physionet_grabmyo,heldout_subject_fewshot,S03,physionet_grabmyo::heldout_subject::S03,2033,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.3986218936420875
physionet_grabmyo,heldout_subject_fewshot,S03,physionet_grabmyo::heldout_subject::S03,2033,raw_stats_plus_signal,balanced_acc,0.3622503839760949
physionet_grabmyo,heldout_subject_fewshot,S03,physionet_grabmyo::heldout_subject::S03,2034,raw_stats_plus_pretrained_plus_signal,balanced_acc,0.4493768066796753
physionet_grabmyo,heldout_subject_fewshot,S03,physionet_grabmyo::heldout_subject::S03,2034,raw_stats_plus_signal,balanced_acc,0.3679478990208298
