source,feature_set,shuffled_label_control,n_seeds,n_classes,uniform_reference_mean,majority_reference_mean,n_train_mean,n_test_mean,accuracy_mean,accuracy_sd,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_sd,macro_f1_min,macro_f1_max,permutation_corrected_accuracy_mean,permutation_corrected_accuracy_sd,permutation_corrected_accuracy_min,permutation_corrected_accuracy_max,normalized_prediction_entropy_mean,normalized_prediction_entropy_sd,normalized_prediction_entropy_min,normalized_prediction_entropy_max,ece_mean,ece_sd,ece_min,ece_max,mutual_information_mean,mutual_information_sd,mutual_information_min,mutual_information_max,normalized_mutual_information_mean,normalized_mutual_information_sd,normalized_mutual_information_min,normalized_mutual_information_max
three_domain_calibration_bank,pretrained_embedding,False,10,3,0.33333333333333337,0.3364304525615839,16010.7,6903.3,0.9958561683106929,0.00454048701086672,0.9860411570010074,0.9994224660698816,0.9958619021201294,0.004548507725889499,0.9860096447429144,0.999424907804796,0.9958683672480143,0.0045257186706777145,0.9860878526937112,0.9994242149179776,0.9958561683106929,0.00454048701086672,0.9860411570010074,0.9994224660698816,0.005057695666584471,0.001251902507944221,0.0026438601841986,0.0072435694100244,0.0029846394376130104,0.004148442512727435,0.000540691450514,0.0121262333279271,1.0756100526043955,0.019533963984570853,1.0361696964456542,1.0937386314453084,0.9791390468939192,0.017702663039055457,0.9434706374425758,0.9955837782942584
three_domain_calibration_bank,pretrained_embedding,True,10,3,0.33333333333333337,0.3364304525615839,16010.7,6903.3,0.3258991643760031,0.0360551258917307,0.2784608708230869,0.3875924046963328,0.32582197021474696,0.03616365414094091,0.2784620604994243,0.3878413700711591,0.32587818773673627,0.03619905748537677,0.2778446589623601,0.3873736606877816,0.3775483761903117,0.014465986517276225,0.3573387213162072,0.4062316284538507,0.9837520196191699,0.0015586120216985765,0.980753660315062,0.9867554314448,0.07593401496655094,0.03423723313620842,0.032092668344027,0.1218944068412469,0.010013883661576508,0.00578920018174947,0.0014387641791258703,0.018821085530895156,0.009124407321064926,0.005276586885318543,0.0013101726674357465,0.01715782164796858
two_domain_confirmatory_features,pretrained_embedding,False,10,2,0.5,0.5017569142480958,41922.1,18077.9,0.9991161920663171,0.0004726952601370278,0.9983443708609272,0.9996634129922584,0.9991155116828843,0.0004737691710828993,0.9983376197443748,0.9996622459119904,0.9991161730217352,0.0004727018315106427,0.998344295804822,0.999663403230128,0.9991161920663171,0.0004726952601370278,0.9983443708609272,0.9996634129922584,0.00460553705254338,0.0011996159853758744,0.002438233958378,0.0063139327487796,0.0005242507943434701,0.0001428651833717387,0.0003192814786035,0.0007379039410966,0.6863535229143247,0.0030906865398043033,0.6813643474030708,0.6901861849258577,0.9902170601043648,0.0044638614812809955,0.9830341558520302,0.995749054461685
two_domain_confirmatory_features,pretrained_embedding,True,10,2,0.5,0.5017569142480958,41922.1,18077.9,0.5018618394046225,0.014587899442420813,0.4778140023208266,0.5230523767605634,0.5018430709548686,0.014595396855855283,0.4778110701279354,0.523055877016273,0.5017861753243397,0.014601094362716505,0.4777943563114994,0.5229334317720716,0.5117586453588938,0.007939131943896302,0.5,0.5230523767605634,0.9934746916382023,0.0005406313717507523,0.992886743858689,0.9944766966630358,0.03592622553478442,0.013779763141047908,0.0163947162689424,0.0568725140325987,0.00039050080536863073,0.0003883425787704521,1.1783585314571624e-08,0.0010646029128817923,0.0005634694364009324,0.000560367583734108,1.700570618944371e-08,0.0015364578592546169
two_domain_confirmatory_features,raw_statistics,False,10,2,0.5,0.5017569142480958,41922.1,18077.9,0.9643959143843966,0.0069263646002517745,0.9538402288732394,0.9735893025578428,0.9644426397652632,0.006912339999169763,0.953839996590458,0.9736677671319014,0.9643921823012439,0.006927067478168288,0.9538401549598045,0.9735891788899524,0.9643959143843966,0.0069263646002517745,0.9538402288732394,0.9735893025578428,0.14606328526940227,0.014219830265468789,0.122408308950905,0.1735376292132887,0.007693800680722139,0.0013311952082395576,0.0053884799848291,0.0097759733710842,0.5423783002878134,0.022564277831505004,0.5061083920192014,0.5729885612990091,0.7826429958251098,0.03255109389079751,0.7301614862361553,0.8267113612543289
two_domain_confirmatory_features,raw_statistics,True,10,2,0.5,0.5017569142480958,41922.1,18077.9,0.4957754738805237,0.04042262382313608,0.444370604197818,0.5671214788732394,0.49577494773734426,0.040419814426399955,0.4443744808395043,0.5671078003684146,0.4952201508170876,0.04026753599119097,0.4440698389725809,0.5654358961343888,0.5335601144996864,0.020059771815866174,0.509127226321922,0.5671214788732394,0.997645149406293,0.0003655482388115708,0.9972240936767948,0.9982776846973096,0.04313760454829489,0.019532435286341174,0.0104546974007168,0.0778467302696885,0.00299959132025671,0.0030379645764097318,0.00016620789109389293,0.009178199792835823,0.0043365474837198156,0.0043998185999858655,0.0002397934928548221,0.0133157869609021
two_domain_confirmatory_features,scratch_embedding,False,10,2,0.5,0.5017569142480958,41922.1,18077.9,0.9866446610125562,0.0021685925938646684,0.9826158940397351,0.9899584876023786,0.9866375374916541,0.002183790764846859,0.9825712009220148,0.9899631421178088,0.9866438883085881,0.0021695426724916453,0.9826127153543436,0.989958309847496,0.9866446610125562,0.0021685925938646684,0.9826158940397351,0.9899584876023786,0.05367787696596662,0.004396521431411309,0.0474279270455034,0.0602009759834554,0.0018219229963818203,0.0005519125562242057,0.0011511600130481,0.0025769781636704,0.6227769883121487,0.008759770490991033,0.6072304203908387,0.6369906621017194,0.8985173267325056,0.012591754982053761,0.8762043497945807,0.9189956069750863
two_domain_confirmatory_features,scratch_embedding,True,10,2,0.5,0.5017569142480958,41922.1,18077.9,0.5028236761061301,0.02638466973199065,0.4683544303797468,0.5461597711267606,0.502814016023584,0.026393393956226193,0.4683253968253968,0.5461547486467775,0.5027640884568589,0.02636348582827296,0.4683246442214998,0.5459207660516527,0.5215689010166463,0.0137150109517534,0.5020296947116721,0.5461597711267606,0.9932810976185626,0.0005175015902855939,0.9922031402121556,0.9940103500830932,0.037540620663224625,0.023013441719062278,0.0031695420548619,0.0701284198790299,0.0012718627152870845,0.001411874694531676,8.238423342753253e-06,0.004275567095071878,0.0018354557777104537,0.0020380016753006186,1.1887685960821577e-05,0.0061729838530436105
